outlet,city,county,host,type,owner,in_sources,source_status,articles,in_blue_book,web_access
Trenton Republican-Times,Trenton,,www.republican-times.com,print native,Jamey & D’Anna Honeycutt,no,,0,yes,website gone
Trenton Telegraph,Trenton,Grundy,www.trentontelegraph.com,print native,CherryRoad Media,yes,active,35,no,collected
Lincoln County Journal,Troy,Lincoln,www.lincolncountyjournal.com,print native,CherryRoad Media,yes,active,180,yes,collected
Troy Free Press,Troy,Lincoln,www.troyfreepress.com,print native,CherryRoad Media,yes,active,134,yes,collected
Unionville Republican,Unionville,,,print native,Ron Kinzler,no,,0,yes,unknown
Current Local,Van Buren,,,print native,Mike Grassham,no,,0,yes,unknown
Vandalia Leader,Vandalia,Audrain,www.vandalialeader.com,print native,CherryRoad Media,yes,active,273,yes,collected
Morgan County Statesman,Versailles,,www.morgancountystatesman.com,print native,Bryan E. Jones,no,,0,yes,print or replica only
The Daily BURG,Warrensburg,Johnson,www.digitalburg.com,print native,The University of Central Missouri,yes,retired,20,no,collected
The Daily Star-Journal,Warrensburg,Johnson,www.warrensburgstarjournal.com,print native,CherryRoad Media,yes,active,1113,yes,collected
Warren County Record,Warrenton,Warren,www.warrencountyrecord.com,print native,The Missourian Publishing Company,yes,active,948,yes,collected
Benton County Enterprise,Warsaw,Benton,www.bentoncountyenterprise.com,print native,Benton County Enterprise,yes,active,659,yes,collected
Missourian,Washington,Franklin,www.missourian.com,print native,The Missourian Publishing Company,yes,active,1192,yes,collected
The Journal/The Webster Journal,Webster Groves,St. Louis,websterjournal.com,print native,Webster University,yes,retired,11,no,collected
Webster Kirkwood Times,Webster Groves,St. Louis,www.timesnewspapers.com,print native,WK Times LLC,yes,active,213,yes,collected
Wellsville Optic-News,Wellsville,,,print native,Tracy L. Park,no,,0,yes,unknown
West Plains Daily Quill,West Plains,Howell,www.westplainsdailyquill.net,print native,Carpenter Media Group,yes,active,5828,yes,collected
Weston Chronicle,Weston,Platte,www.plattechronicle.com,print native,McPherson Beth,yes,retired,0,yes,never collected
Howell County News,Willow Springs,Howell,www.howellcountynews.com,print native,"Aux Arcs Homestead Publishing, LLC",yes,active,275,yes,collected
