name,city,cities,host,url,address,telephone,fax,editorial_email,publisher,editor,other_roles,schedule,affiliation
NEOSHO DAILY NEWS,Neosho,Neosho,www.neoshodailynews.com,www.neoshodailynews.com,"1006 W. Harmony, PO Box 848, Neosho 64850, Tues. & Fri.",(417) 451-1520,,jimmy@neoshodailynews.com,Jimmy Sexton,,,,
"NEWTON COUNTY NEWS, NEOSHO",Neosho,Neosho,,,"15647 Hammer Rd., Neosho 64850",(417) 455-6901,,news@newconews.com,Chad Hayworth,Chad Hayworth,,Wed.,Rep
NEVADA DAILY MAIL,Nevada,Nevada,www.nevadadailymail.com,www.nevadadailymail.com,"131 S. Cedar St., PO Box 247, Nevada 64772",(417) 667-3344,(417) 667-8384,lharter@nevadadailymail.com,Lorie Harter,Sarah Honey,,"Tues., Wed., Fri. & Sat.",NP
RALLS CO HERALD-ENTERPRISE,New London,New London,www.monroe-ralls.com,www.monroe-ralls.com,"221 N. Main St., PO Box 207, Paris 65275",(573) 985-3420,,robingregg@monroecountyappeal.com,Robin Gregg,Robin Gregg,,Thurs.,NP
NEW MADRID WEEKLY RECORD,New Madrid,New Madrid,www.standard-democrat.com,www.standard-democrat.com,"205 S. New Madrid, Sikeston 63801",(573) 471-1137,,news@standard-democrat.com,DeAnna Nelson,"Leonna Heuring, David Jenkins",,Fri.,Dem
FOCUS ON OAK GROVE,Oak Grove,Oak Grove,www.theodessan.net,www.theodessan.net,"103 SE 12th St., Oak Grove 64075",(816) 690-7218,,odessannews@gmail.com,John & Joe Spaar,Ruth Ann Hafner,,Thurs.,Dem
ODESSA ODESSAN,Odessa,Odessa,www.theodessan.net,www.theodessan.net,"212 Mason St., Odessa 64076",(816) 230-5311,,odessannews@gmail.com,John & Joe Spaar,Hannah Spaar,,Thurs.,Dem
KANSAS CITY CALL NEWSPAPERS,Online newspaper,Online newspaper,www.kccallnews.net,www.kccallnews.net,"1515 E. 18th St., Kansas City 64108",(816) 842-4804,,tallen@kccallnews.net,,Tracey Allen,,Fri.,Ind
KANSAS CITY DAILY RECORD,Online newspaper,Online newspaper,www.mlmcounties.com,www.mlmcounties.com,"920 Main St., Ste. 825, Kansas City 64105",(816) 931-2002,,jyount@molawyersmedia.com,Johnny Aguirre,Jordan Yount,,Daily,NP
KANSAS CITY GLOBE,Online newspaper,Online newspaper,www.thekansascityglobe.com,www.thekansascityglobe.com,"615 E. 29th, Kansas City 64109",(816) 531-5253,,kcglobe@swbell.net,Marion Jordon,Marion Jordon,,Thurs.,Ind
KANSAS CITY NORTHEAST NEWS,Online newspaper,Online newspaper,www.northeastnews.net,www.northeastnews.net,"2659 Independence Blvd., Kansas City 64124",(816) 241-0765,,northeastnewskc@gmail.com,"Historic Northeast Media, Inc.",Julia Williams,,Biweekly Wed.,NP
KANSAS CITY STAR,Online newspaper,Online newspaper,www.kansascity.com,www.kansascity.com,"2405 Grand, Ste. 410, Kansas City 64108",(816) 234-4636,,gfarmer@kcstar.com,,,Executive Editor: Greg Farmer,Daily,NP
KANSAS CITY THE PULSE LEGAL PUBLICATION,Online newspaper,Online newspaper,www.pulselegal.com,www.pulselegal.com,"501 E. Armour Blvd., Kansas City 64109",(816) 221-2552,,lisa@pulselegal.com,Pamela Wingo,Lisa Clark,,Daily,NP
LAKE EXPO,Osage Beach,Osage Beach,www.lakeexpo.com,www.lakeexpo.com,"2820 Bagnell Dam Blvd., Ste. B5, Lake Ozark 65049",(573) 693-1990,,nathan@lakeexpo.com,Brent Simpson,Nathan Bechtold,,,
OSCEOLA ST. CLAIR COUNTY COURIER,Osceola,Osceola,,,"285 Pine St., PO Box 580, Osceola 64776",(417) 646-2211,,sacosagenews@centurytel.net,Trevor Vernon,Brandy Bourland,,Fri.,Rep
OWENSVILLE GASCONADE CO. REPUBLICAN,Owensville,Owensville,www.gasconadecountyrepublican.com,www.gasconadecountyrepublican.com,"106 E. Washington Ave., PO Box 540, Owensville 65066",(573) 437-2323,,news@wardpub.com,Dennis Warden,Dave Marner,,Wed.,Dem
CHRISTIAN COUNTY HEADLINER-NEWS,Ozark,Ozark,www.ccheadliner.com,www.ccheadliner.com,"PO Box 490, Ozark 65721",(417) 504-7515,,leahg@ccheadliner.com,Deanna Moore,Leah Greenwood,,Wed.,Rep
PALMYRA SPECTATOR,Palmyra,Palmyra,www.palmyra-spectator.com,www.palmyra-spectator.com,"304 S. Main St., Palmyra 63461, PO Box 230, Kahoka 63445",(573) 769-3111,,editorial@palmyra-spectator.com,Mike Scott,Mike Scott,,Wed.,Rep
MONROE COUNTY APPEAL,Paris,Paris,www.monroe-ralls.com,www.monroe-ralls.com,"209 N. Main St., Paris 65275",(660) 462-6937,,robingregg@monroecountyappeal.com,Robin Gregg,Robin Gregg,,Thurs.,NP
PARK HILLS DAILY JOURNAL,Park Hills,Park Hills,www.dailyjournalonline.com,www.dailyjournalonline.com,"1513 St. Joe Dr., PO Box 9, Park Hills 63601",(573) 431-2010,,dstricklin@dailyjournalonline.com,,Kevin Jenkins,President: Dwight Stricklin,Tues.,NP
MIDAMERICA FARMER GROWER,Perryville,Perryville,www.mafg.net,www.mafg.net,"19 N. Main St., PO Box 323, Perryville 63775",(573) 547-2244,,editor@mafg.net,John M. LaRose,Barb Galeski,,Fri.,Rep
"REPUBLIC-MONITOR, PERRYVILLE",Perryville,Perryville,www.republicmonitor.com,www.republicmonitor.com,"11 W. St. Joseph St., PO Box 367, Perryville 63775",(573) 547-4567,,editor@perryvillenews.com,Robert Cox,Justin Hotop,,Thurs.,Rep
PIEDMONT WAYNE CO. JOURNAL-BANNER,Piedmont,Piedmont,www.waynecojournalbanner.com,www.waynecojournalbanner.com,"101 W. Elm St., PO Box 97, Piedmont 63957, mdcp.nwaonline.com, 212 Northeast Ave., PO Box 266, Pineville 64856",(479) 571-6482,,mcpress@nwaonline.com,Scott Hoskins,Randy Moll,,Thurs.,NP
PLATTE COUNTY CITIZEN,Platte City,Platte City,www.plattecountycitizen.com,www.plattecountycitizen.com,"303 Marshall Rd., Ste. 1A, PO Box 888, Platte City 64079",(816) 858-5154,,editor@plattecountycitizen.com,Will Johnson,,,Wed.,Rep
PLATTE COUNTY LANDMARK,Platte City,Platte City,www.plattecountylandmark.com,www.plattecountylandmark.com,"212 Marshall Rd, Ste. C, PO Box 410, Platte City 64079",(816) 858-0363,,ivan@plattecountylandmark.com,Ivan Foley,Ivan Foley,,Wed.,Rep
"CLINTON COUNTY LEADER, PLATTSBURG",Plattsburg,Plattsburg,www.clintoncountyleader.com,www.clintoncountyleader.com,"102 E. Maple St., Plattsburg 64477",(816) 539-2111,,leader@clintoncountyleader.com,Jamey & D’Anna Honeycutt,Brett Adkison,,Tues.,Rep
POPLAR BLUFF DAILY AMERICAN REPUBLIC,Poplar Bluff,Poplar Bluff,www.darnews.com,www.darnews.com,"208 Poplar St., PO Box 7, Poplar Bluff 63902, Tues.–Sat. (Rep)",(573) 785-1414,,dfarley@darnews.com,Chris Pruett,Donna Farley,,,
POTOSI INDEPENDENT JOURNAL,Potosi,Potosi,www.theijnews.com,www.theijnews.com,"119 E. High St., PO Box 340, Potosi 63664",(573) 438-5141,,theijnews@gmail.com,Kris Richards & JK Richards,Neil Richards,,Thurs.,NP
PRINCETON POST-TELEGRAPH,Princeton,Princeton,northmissouriannews.com,https://northmissouriannews.com/post-telegraph,"704 Main St., PO Box 286, Princeton 64673",(660) 748-3266,,posttele@grm.net,Preston Cole,Preston Cole,,Thurs.,Rep
SCHUYLER COUNTY TIMES,Queen City,Queen City,www.schuylercountytimes.com,www.schuylercountytimes.com,"20447 New Hope Rd., Lancaster 63548",(660) 457-8555,,news@schuylercountytimes.com,Mike & Sue Scott,Mike Scott,,Thurs.,Rep
GREENE COUNTY COMMONWEALTH,Republic,Republic,www.greenecountycommonwealth.com,www.greenecountycommonwealth.com/,"312 S. Hickory St., PO Box 348, Mt. Vernon 65738",(417) 466-2185,,thepaper@lawrencecountyrecord.com,Ryan Squibb,Ryan Squibb,,Wed.,Rep
RICH HILL MINING REVIEW,Rich Hill,Rich Hill,www.richhillminingreview.com,www.richhillminingreview.com,"PO Box 580, Osceola 64779",(417) 646-2211,,richhillminingreview@gmail.com,Trevor Vernon,Brandy Bourland,,Fri.,Rep
RICHMOND NEWS,Richmond,Richmond,www.richmond-dailynews.com,www.richmond-dailynews.com,"204 W. North Main, PO Box 128, Richmond 64085",(816) 776-5454,,gm@leaderpress.com,Sharon Donat,,,Fri.,NP
ATCHISON COUNTY MAIL,Rock Port,Rock Port,www.farmerpublishing.com,www.farmerpublishing.com,"300 S. Main St., PO Box 40, Rock Port 64482",(660) 744-6245,,amail@rpt.coop,William C. & Mike Farmer,W.C. Farmer,,Thurs.,Dem
PHELPS COUNTY FOCUS,Rolla,Rolla,www.phelpscountyfocus.com,www.phelpscountyfocus.com,"101 W. Seventh St., PO Box 1128, Rolla 65401",(573) 426-3700,,contact@phelpscountyfocus.com,Catherine Wynn,Catherine Wynn,,Thurs.,Rep
SAINT JAMES PRESS,Saint James,Saint James,www.threeriverspublishing.com,www.threeriverspublishing.com,"120 S. Jefferson, Ste. 107, PO Box 428, St. James 65559",(573) 899-2345,,news@saintjamespress.com,Rob Viehman,Chris Daniels,,Thurs.,Dem
CHARITON MARQUEE,Salem,Salem,www.charitonmarquee.com,www.charitonmarquee.com,"110 E. Second St., Salisbury 65281",(660) 388-6131,,editor@charitonmarquee.com,Melanie Latamondeer,,,Wed.,Ind
THE SALEM NEWS,Salem,Salem,www.thesalemnewsonline.com,www.thesalemnewsonline.com,"500 N. Washington, PO Box 798, Salem 65560, Salisbury/ Brunswick",(573) 729-4126,,salemnews@thesalemnewsonline.com,Catherine Wynn,Catherine Wynn,,Tues.,Rep
SARCOXIE RECORD,Sarcoxie,Sarcoxie,,,"101 N. Sixth St., PO Box 400, Sarcoxie 64862",(417) 548-3311,,fstop@centurytel.net,Paul E. Donley,Paul E. Donley,,Wed.,Rep
SAVANNAH REPORTER,Savannah,Savannah,www.savrep.com,www.savrep.com,"427 W. Main St., PO Box 299, Savannah 64485",(816) 324-3149,,editor@savrep.com,Jeremy Gulban,Gregory Orear,,Thurs.,Dem
SEDALIA DEMOCRAT,Sedalia,Sedalia,www.sedaliademocrat.com,www.sedaliademocrat.com,"111 W. Fourth St., Sedalia 65301, Mon.–Sat. (Ind)",(660) 826-1000,,news@sedaliademocrat.com,Jamila Khalil,Nicole Cooke,,,
SEYMOUR WEBSTER COUNTY CITIZEN,Seymour,Seymour,www.webstercountycitizen.com,www.webstercountycitizen.com,"221 S. Commercial St., PO Box 190, Seymour 65746",(417) 935-2257,,citizen@webstercountycitizen.com,Dan Wehmer,Dan Wehmer,,Wed.,Rep
SHELBY COUNTY HERALD,Shelbyville,Shelbyville,www.shelbycountyherald.com,www.shelbycountyherald.com,"109 E. Main St., PO Box 225, Shelbyville 63469",(573) 633-2261,,editor@shelbycountyherald.com,Mike Scott,Martha Jane East,,Wed.,Dem
SHERIDAN EXPRESS,Sheridan,Sheridan,,,"sheridanexpress.blogspot.com, 205 N. Fourth, #8, PO Box 136, Sheridan 64486",(660) 254-2161,,express@grm.net,Jesse Stark,Jesse Stark,,Wed.,Dem
SIKESTON STANDARD-DEMOCRAT,Sikeston,Sikeston,www.standard-democrat.com,www.standard-democrat.com,"205 S. New Madrid, Sikeston 63801",(573) 471-1137,,news@standard-democrat.com,DeAnna Nelson,Leonna Heuring,,"Sun., Wed. & Fri.",Rep
SLATER MAIN STREET NEWS,Slater,Slater,www.slatermainstreetnews.com,www.slatermainstreetnews.com,"222 Main St., Slater 65349",(660) 529-2249,,slaternews@socket.net,Jean E. Black,Jean E. Black,,Thurs.,Dem
SPRINGFIELD BUSINESS JOURNAL,Springfield,Springfield,www.sbj.net,www.sbj.net,"2101 W. Chesterfield Blvd., Ste. B105, PO Box 1365,, Springfield 65807",(417) 831-3238,,sbj@sbj.net,Marty Goodnight,Christine Temple,,Mon.,NP
SPRINGFIELD DAILY EVENTS,Springfield,Springfield,www.thedailyevents.com,www.thedailyevents.com,"310 W. Walnut St., PO Box 1, Springfield 65806",(417) 866-1401,,editor@thedailyevents.com,Jeff Schrag,Susie Barnes,,Daily,Rep
SPRINGFIELD NEWS-LEADER,Springfield,Springfield,www.news-leader.com,www.news-leader.com,"901 E. St. Louis St., Ste. 1100, Springfield 65806",(417) 836-1170,,webeditor@news-leader.com,,Amos Bridges,,Daily,NP
ST. CHARLES COMMUNITY NEWS,St. Charles,St. Charles,www.mycnews.com,www.mycnews.com,"1001 Boardwalk Springs Pl., Ste. 111, O’Fallon 63368",(636) 379-1775,,editor@mycnews.com,Tim Schmidt,Tim Schmidt,,Wed.,NP
ST. CHARLES COUNTY BUSINESS RECORD,St. Charles,St. Charles,www.mlmcounties.com,www.mlmcounties.com,"1660 Heritage Landing, Ste. 209, St. Peters 63303",(636) 949-6928,,jyount@molawyersmedia.com,Johnny Aguirre,Jordan Yount,,Daily,NP
ST. CHARLES COUNTY JOURNAL,St. Charles,St. Charles,,,"300 S. Second St., St. Charles 63301",(816) 221-2552,,gail@pulselegal.com,Shannon Grindinger,,,Daily,NP
ST. JOSEPH NEWS-PRESS,St. Joseph,St. Joseph,www.newspressnow.com,www.newspressnow.com,"825 Edmond St., PO Box 29, St. Joseph 64502",(816) 271-8500,,steve.booher@newspressnow.com,David Bradley,Steve Booher,,Daily,Rep
ST. LOUIS AMERICAN,St. Louis,St. Louis,www.stlamerican.com,www.stlamerican.com,"2315 Pine St., St. Louis 63103",(314) 533-8000,,news@stlamerican.com,Donald Suggs,Donald Suggs,,Thurs.,Dem
ST. LOUIS BUSINESS JOURNAL,St. Louis,St. Louis,www.bizjournals.com,www.bizjournals.com/stlouis/,"815 Olive St., Ste. 100, St. Louis 63101",(314) 421-6200,,esiemers@bizjournals.com,Robert Bobroff,Erik Siemers,,Fri.,NP
ST. LOUIS CALL NEWSPAPERS,St. Louis,St. Louis,www.callnewspapers.com,www.callnewspapers.com,"9977 Lin-Ferry Dr., St. Louis 63123",(314) 843-0102,,new1@callnewspapers.com,Deborah Baker,Erin Achenbach,,Thurs.,Ind
ST. LOUIS CITY MONITOR,St. Louis,St. Louis,,,"200 N. 13th St., St. Louis 63103",(816) 221-2552,,,John Wingo,Trevor Henderson,,Daily,NP
ST. LOUIS COMMUNITY NEWS,St. Louis,St. Louis,www.mycnews.com,www.mycnews.com,"1001 Boardwalk Springs Pl., Ste. 111., O’Fallon 63368",(636) 379-1775,,editor@mycnews.com,Tim Schmidt,Tim Schmidt,,Wed.,NP
ST. LOUIS COUNTY LEDGER,St. Louis,St. Louis,,,"7730 Carondelet, Ste. 101, St. Louis 63105",(314) 862-1875,,,John Wingo,Lacey Whittaker,,Daily,NP
ST. LOUIS DAILY RECORD,St. Louis,St. Louis,www.mlmcounties.com,www.mlmcounties.com,"319 N. 100 Fourth St., Ste. 534, St. Louis 63188",(314) 421-1880,,jyount@molawyersmedia.com,Susan Bocomazo,Jordan Yount,,Daily,NP
ST. LOUIS LABOR TRIBUNE,St. Louis,St. Louis,www.labortribune.com,www.labortribune.com,"505 S. Ewing Ave., St. Louis 63103",(314) 535-9660,(314) 531-6131,tim@labortribune.com,Edward M. Finkelstein,Tim Rowden,,Thurs.,Dem
ST. LOUIS MISSOURI LAWYERS WEEKLY,St. Louis,St. Louis,www.molawyersmedia.com,www.molawyersmedia.com,"1400 S. Highway Dr., Ste. 103, Fenton 63026",(314) 421-1880,,jyount@molawyersmedia.com,Johnny Aguirre,Jordan Yount,,Daily,NP
ST. LOUIS POST-DISPATCH,St. Louis,St. Louis,www.stltoday.com,www.stltoday.com,"901 N. 10th St., St. Louis 63101",(314) 340-8888,,editor@post-dispatch.com,Ian Caso,Alan Achkar,,Daily,NP
ST. LOUIS WEBSTER - KIRKWOOD TIMES,St. Louis,St. Louis,www.timesnewspapers.com,https://www.timesnewspapers.com/webster-kirkwood,"times/, 122 W. Lockwood Ave., Second Fl., St. Louis 63119",(314) 968-2699,,newsroom@timesnewspapers.com,Randy Drilingas,Jaime Mowers,,Fri.,Dem
STE. GENEVIEVE HERALD,Ste. Genevieve,Ste. Genevieve,www.stegenherald.com,www.stegenherald.com,"316 A Market St., PO Box 447, Ste. Genevieve 63670",(573) 883-2222,,mevans@stegenherald.com,Scott Hoskins,Mark Evans,,Wed.,Rep
STEELVILLE STAR-CRAWFORD MIRROR,Steelville,Steelville,www.threeriverspublishing.com,www.threeriverspublishing.com,"115 E. Main St., PO Box BG, Steelville 65565",(573) 775-5454,,news@cubafreepress.com,Rob Viehman,Amy England,,Thurs.,Rep
"CEDAR COUNTY REPUBLICAN, STOCKTON",Stockton,Stockton,www.cedarrepublican.com,www.cedarrepublican.com,"26 Public Sq., Stockton 65785",(417) 276-4211,,news@cedarrepublican.com,Deanna Moore,Pat Hindman,,Wed.,Rep
SULLIVAN INDEPENDENT NEWS,Sullivan,Sullivan,www.mysullivannews.net,www.mysullivannews.net,"411 Scottsdale Dr., PO Box 268, Sullivan 63080",(573) 468-6511,,general@sullivannews.net,James Bartle,James Bartle,,Wed.,Ind
SUMMERSVILLE BEACON,Summersville,Summersville,www.sbeacon.com,www.sbeacon.com,"205 Richards Ave., PO Box 272, Summersville 65571",(417) 932-4700,,sbeaconeditor@gmail.com,Sharon Vaughn,Sharon Vaughn,,Tues.,NP
SWEET SPRINGS HERALD,Sweet Springs,Sweet Springs,,,"238 W. Main St., Sweet Springs 65351",(660) 335-6366,,sweetspringsherald@gmail.com,Kathryn Dohrman,Kathryn Dohrman,,Wed.,Rep
THE SOUTH MISSOURIAN NEWS,Thayer,Thayer,,,"wwwsouthmissouriannews.com, 112 Chestnut St., Thayer 65791",(417) 264-3085,,vmarshall@cherryroad.com,Jeremy Gulban,Renee James,,Thurs.,NP
TIPTON TIMES,Tipton,Tipton,www.tiptontimes.com,www.tiptontimes.com,"113 E. Morgan St., PO Box U, Tipton 65081",(660) 433-5721,,times@vernonpublishing.com,Trevor Vernon,Becky Holloway,,Thurs.,Rep
TRENTON REPUBLICAN-TIMES,Trenton,Trenton,www.republican-times.com,www.republican-times.com,"122 E. Eighth St., PO Box 548, Trenton 64683",(660) 359-2212,,news@republican-times.com,Jamey & D’Anna Honeycutt,Jamey Honeycutt,,Thurs.,Rep
LINCOLN COUNTY JOURNAL,Troy,Troy,www.lincolnnewsnow.com,www.lincolnnewsnow.com,"280 Magee St., Troy 63379",(636) 528-9550,,gorear@cherryroad.com,Jeremy Gulban,Gregory Orear,,Tues.,Ind
TROY FREE PRESS,Troy,Troy,www.lincolnnewsnow.com,www.lincolnnewsnow.com,"230 Magee St., Troy 63379",(636) 528-9550,,,Jeremy Gulban,Gregory Orear,Editor email: gorear@cherryroad.com,Wed.,Ind
UNIONVILLE REPUBLICAN,Unionville,Unionville,,,"northmissourinews.com, 111 S. 16th St., PO Box 365, Unionville 63565",(660) 947-2222,,urep@nemr.net,Ron Kinzler,Karen Bradshaw,,Wed.,Rep
CURRENT LOCAL,Van Buren,Van Buren,,,"504 Ash St., PO Box 100, Van Buren 63965",(573) 323-4515,,currentlocal@centurytel.net,Mike Grassham,Mike Grassham,,Thurs.,NP
VANDALIA LEADER,Vandalia,Vandalia,www.vandalialeader.com,www.vandalialeader.com,"101 W. Main, PO Box 110, Bowling Green 63334",(573) 594-2222,,sschwartz@pikecountynews.com,Stan Schwartz,Stan Schwartz,,Thurs.,Rep
MORGAN COUNTY STATESMAN,Versailles,Versailles,www.morgancountystatesman.com,www.morgancountystatesman.com,"104 W. Jasper, PO Box 348, Versailles 65084, Wed. (Rep",(573) 378-5441,,news@morgancountystatesman.com,Bryan E. Jones,Bryan E. Jones,,,
WARRENSBURG DAILY STAR-JOURNAL,Warrensburg,Warrensburg,www.warrensburgstarjournal.com,www.warrensburgstarjournal.com,"101 E. Market St., Ste. D, Warrensburg 64093",(660) 747-8123,,news@warrensburgstarjournal.com,Jamila Khalil,Nicole Cooke,,Tues. & Fri.,Rep
WARREN COUNTY RECORD,Warrenton,Warrenton,www.warrencountyrecord.com,www.warrencountyrecord.com,"103 E. Booneslick Rd., Warrenton 63383",(636) 456-6397,,jason@warrencountyrecord.com,Tim Schmidt,Tim Schmidt,,Thurs.,Rep
BENTON COUNTY ENTERPRISE,Warsaw,Warsaw,www.bentoncountyenterprise.com,www.bentoncountyenterprise.com,"107 E. Main St., PO Box 128, Warsaw 63555",(660) 438-6312,,bentoncountyenterprise@yahoo.com,James Mahlon White,Adam Dean Howe,,Thurs.,Rep
WASHINGTON MISSOURIAN,Washington,Washington,www.emissourian.com,www.emissourian.com,"6321 Bluff Rd., PO Box 336, Washington 63090",(636) 239-7701,,washnews@emissourian.com,William L. Miller Jr.,Jonathan Riley,,"Wed., Sat. & Sun.",Ind
WELLSVILLE OPTIC-NEWS,Wellsville,Wellsville,,,"123 W. Hudson St., PO Box 73, Wellsville 63384",(573) 684-2929,,opticnews@socket.net,Tracy L. Park,Natalie A. Ison,,Wed.,Rep
WEST PLAINS DAILY QUILL,West Plains,West Plains,www.westplainsdailyquill.net,www.westplainsdailyquill.net,"205 Washington Ave., PO Box 110, West Plains 65775",(417) 256-9191,,news@westplainsdailyquill.net,,Abby Hess,GM & Editor: Abby Hess,Wed. & Sat.,NP
WESTON CHRONICLE,Weston,Weston,www.plattechronicle.com,www.plattechronicle.com,"18275 Hwy. 45 N, PO Box 6, Weston 64098",(816) 640-2251,,wcnews@embarqmail.com,Jim & Beth McPherson,Beth McPherson,,Wed.,Dem
HOWELL COUNTY NEWS,Willow Springs,Willow Springs,www.howellcountynews.com,www.howellcountynews.com,"110 W. Main St., Willow Springs 65793",(417) 252-2123,,editor@howellcountynews.com,Amanda Mendez,Amanda Mendez,,Wed.,Rep
WINDSOR REVIEW,Windsor,Windsor,www.clintondailydemocrat.com,www.clintondailydemocrat.com,"212 S. Washington St., PO Box 586, Clinton 64735",(660) 885-2281,,clintondailydemocrat@gmail.com,James White,Adam Howe,,Thurs.,Rep
